architecture              ,backbone        ,boxAP ,config                                                                                                                                                   ,weights
Faster R-CNN              ,X-101-64x4d-FPN , 42.1 ,configs/faster_rcnn/faster-rcnn_x101-64x4d_fpn_1x_coco.py                                            ,https://download.openxlab.org.cn/models/mmdetection/FasterR-CNN/weight/faster-rcnn_x101-64x4d_fpn_1x_coco
RetinaNet                 ,X-101-64x4d-FPN , 41.0 ,configs/retinanet/retinanet_x101-64x4d_fpn_1x_coco.py                                                ,https://download.openmmlab.com/mmdetection/v2.0/retinanet/retinanet_x101_64x4d_fpn_1x_coco/retinanet_x101_64x4d_fpn_1x_coco_20200130-366f5af1.pth
Cascade R-CNN             ,X-101-64x4d-FPN , 44.7 ,configs/cascade_rcnn/cascade-rcnn_x101-64x4d_fpn_1x_coco.py                                          ,https://download.openmmlab.com/mmdetection/v2.0/cascade_rcnn/cascade_rcnn_x101_64x4d_fpn_1x_coco/cascade_rcnn_x101_64x4d_fpn_1x_coco_20200515_075702-43ce6a30.pth
Cascade Mask R-CNN        ,X-101-64x4d-FPN , 45.6 ,configs/cascade_rcnn/cascade-mask-rcnn_x101-64x4d_fpn_20e_coco.py                                    ,https://download.openmmlab.com/mmdetection/v2.0/cascade_rcnn/cascade_mask_rcnn_x101_64x4d_fpn_20e_coco/cascade_mask_rcnn_x101_64x4d_fpn_20e_coco_20200512_161033-bdb5126a.pth
Grid R-CNN                ,X-101-64x4d-FPN , 43.0 ,configs/grid_rcnn/grid-rcnn_x101-64x4d_fpn_gn-head_2x_coco.py                                        ,https://download.openmmlab.com/mmdetection/v2.0/grid_rcnn/grid_rcnn_x101_64x4d_fpn_gn-head_2x_coco/grid_rcnn_x101_64x4d_fpn_gn-head_2x_coco_20200204-ec76a754.pth
GA-Faster R-CNN           ,X-101-64x4d-FPN , 43.9 ,configs/guided_anchoring/ga-faster-rcnn_x101-64x4d_fpn_1x_coco.py                                    ,https://download.openmmlab.com/mmdetection/v2.0/guided_anchoring/ga_faster_x101_64x4d_fpn_1x_coco/ga_faster_x101_64x4d_fpn_1x_coco_20200215-0fa7bde7.pth
GA-RetinaNet              ,X-101-64x4d-FPN , 41.3 ,configs/guided_anchoring/ga-retinanet_x101-64x4d_fpn_1x_coco.py                                      ,https://download.openmmlab.com/mmdetection/v2.0/guided_anchoring/ga_retinanet_x101_64x4d_fpn_1x_coco/ga_retinanet_x101_64x4d_fpn_1x_coco_20200226-ef9f7f1f.pth
FSAF                      ,X-101-64x4d-FPN , 42.4 ,configs/fsaf/fsaf_x101-64x4d_fpn_1x_coco.py                                                          ,https://download.openmmlab.com/mmdetection/v2.0/fsaf/fsaf_x101_64x4d_fpn_1x_coco/fsaf_x101_64x4d_fpn_1x_coco-e3f6e6fd.pth
Libra R-CNN               ,X-101-64x4d-FPN , 42.7 ,configs/libra_rcnn/libra-faster-rcnn_x101-64x4d_fpn_1x_coco.py                                       ,https://download.openmmlab.com/mmdetection/v2.0/libra_rcnn/libra_faster_rcnn_x101_64x4d_fpn_1x_coco/libra_faster_rcnn_x101_64x4d_fpn_1x_coco_20200315-3a7d0488.pth
FCOS                      ,X-101-64x4d-FPN , 42.6 ,configs/fcos/fcos_x101-64x4d_fpn_gn-head_ms-640-800-2x_coco.py                                       ,https://download.openmmlab.com/mmdetection/v2.0/fcos/fcos_x101_64x4d_fpn_gn-head_mstrain_640-800_2x_coco/fcos_x101_64x4d_fpn_gn-head_mstrain_640-800_2x_coco-ede514a8.pth
RepPoints                 ,X-101-FPN-DCN   , 44.2 ,configs/reppoints/reppoints-moment_x101-dconv-c3-c5_fpn-gn_head-gn_2x_coco.py                        ,https://download.openmmlab.com/mmdetection/v2.0/reppoints/reppoints_moment_x101_fpn_dconv_c3-c5_gn-neck%2Bhead_2x_coco/reppoints_moment_x101_fpn_dconv_c3-c5_gn-neck%2Bhead_2x_coco_20200329-f87da1ea.pth
FreeAnchor                ,X-101-32x4d-FPN , 41.9 ,configs/free_anchor/freeanchor_x101-32x4d_fpn_1x_coco.py                                             ,https://download.openmmlab.com/mmdetection/v2.0/free_anchor/retinanet_free_anchor_x101_32x4d_fpn_1x_coco/retinanet_free_anchor_x101_32x4d_fpn_1x_coco_20200130-d4846968.pth
VarifocalNet              ,X-101-64x4d-FPN ,      ,configs/vfnet/vfnet_x101-64x4d-mdconv-c3-c5_fpn_ms-2x_coco.py                                        ,https://download.openmmlab.com/mmdetection/v2.0/vfnet/vfnet_x101_64x4d_fpn_mdconv_c3-c5_mstrain_2x_coco/vfnet_x101_64x4d_fpn_mdconv_c3-c5_mstrain_2x_coco_20201027pth-b5f6da5e.pth
TOOD                      ,X-101-64x4d-FPN , 47.6 ,configs/tood/tood_x101-64x4d_fpn_ms-2x_coco.py                                                       ,https://download.openmmlab.com/mmdetection/v2.0/tood/tood_x101_64x4d_fpn_mstrain_2x_coco/tood_x101_64x4d_fpn_mstrain_2x_coco_20211211_003519-a4f36113.pth
Faster R-CNN              ,R-101-FPN       , 41.8 ,configs/faster_rcnn/faster-rcnn_r101_fpn_ms-3x_coco.py                                               ,https://download.openxlab.org.cn/models/mmdetection/FasterR-CNN/weight/faster-rcnn_r101_fpn_ms-3x_coco
RetinaNet                 ,R-101-FPN       , 38.9 ,configs/retinanet/retinanet_r101_fpn_2x_coco.py                                                      ,https://download.openmmlab.com/mmdetection/v2.0/retinanet/retinanet_r101_fpn_2x_coco/retinanet_r101_fpn_2x_coco_20200131-5560aee8.pth
Cascade R-CNN             ,R-101-FPN       , 42.5 ,configs/cascade_rcnn/cascade-rcnn_r101_fpn_20e_coco.py                                               ,https://download.openmmlab.com/mmdetection/v2.0/cascade_rcnn/cascade_rcnn_r101_fpn_20e_coco/cascade_rcnn_r101_fpn_20e_coco_bbox_mAP-0.425_20200504_231812-5057dcc5.pth
Cascade Mask R-CNN        ,R-101-FPN       , 43.4 ,configs/cascade_rcnn/cascade-mask-rcnn_r101_fpn_20e_coco.py                                          ,https://download.openmmlab.com/mmdetection/v2.0/cascade_rcnn/cascade_mask_rcnn_r101_fpn_20e_coco/cascade_mask_rcnn_r101_fpn_20e_coco_bbox_mAP-0.434__segm_mAP-0.378_20200504_174836-005947da.pth
Grid R-CNN                ,R-101-FPN       , 41.5 ,configs/grid_rcnn/grid-rcnn_r50_fpn_gn-head_2x_coco.py                                               ,https://download.openmmlab.com/mmdetection/v2.0/grid_rcnn/grid_rcnn_r50_fpn_gn-head_2x_coco/grid_rcnn_r50_fpn_gn-head_2x_coco_20200130-6cca8223.pth
FSAF                      ,R-101-FPN       , 39.3 ,configs/fsaf/fsaf_r101_fpn_1x_coco.py                                                                ,https://download.openmmlab.com/mmdetection/v2.0/fsaf/fsaf_r101_fpn_1x_coco/fsaf_r101_fpn_1x_coco-9e71098f.pth
CenterNet                 ,ResNet-18       , 29.5 ,configs/centernet/centernet_r18-dcnv2_8xb16-crop512-140e_coco.py                                     ,https://download.openmmlab.com/mmdetection/v2.0/centernet/centernet_resnet18_dcnv2_140e_coco/centernet_resnet18_dcnv2_140e_coco_20210702_155131-c8cd631f.pth
Libra R-CNN               ,R-101-FPN       , 40.1 ,configs/libra_rcnn/libra-faster-rcnn_r101_fpn_1x_coco.py                                             ,https://download.openmmlab.com/mmdetection/v2.0/libra_rcnn/libra_faster_rcnn_r101_fpn_1x_coco/libra_faster_rcnn_r101_fpn_1x_coco_20200203-8dba6a5a.pth
RepPoints                 ,R-101-FPN       , 40.5 ,configs/reppoints/reppoints-moment_r101_fpn-gn_head-gn_2x_coco.py                                    ,https://download.openmmlab.com/mmdetection/v2.0/reppoints/reppoints_moment_r101_fpn_gn-neck%2Bhead_2x_coco/reppoints_moment_r101_fpn_gn-neck%2Bhead_2x_coco_20200329-4fbc7310.pth
RepPoints                 ,R-101-FPN-DCN   , 42.9 ,configs/reppoints/reppoints-moment_r101-dconv-c3-c5_fpn-gn_head-gn_2x_coco.py                        ,https://download.openmmlab.com/mmdetection/v2.0/reppoints/reppoints_moment_r101_fpn_dconv_c3-c5_gn-neck%2Bhead_2x_coco/reppoints_moment_r101_fpn_dconv_c3-c5_gn-neck%2Bhead_2x_coco_20200329-3309fbf2.pth
FreeAnchor                ,R-101-FPN       , 40.3 ,configs/free_anchor/freeanchor_r101_fpn_1x_coco.py                                                   ,https://download.openmmlab.com/mmdetection/v2.0/free_anchor/retinanet_free_anchor_r101_fpn_1x_coco/retinanet_free_anchor_r101_fpn_1x_coco_20200130-358324e6.pth
FoveaBox                  ,R-101-FPN       , 42.0 ,configs/foveabox/fovea_r101_fpn_gn-head-align_ms-640-800-4xb4-2x_coco.py                             ,https://download.openmmlab.com/mmdetection/v2.0/foveabox/fovea_align_r101_fpn_gn-head_mstrain_640-800_4x4_2x_coco/fovea_align_r101_fpn_gn-head_mstrain_640-800_4x4_2x_coco_20200208-649c5eb6.pth
Double Heads              ,R-50-FPN        , 40.0 ,configs/double_heads/dh-faster-rcnn_r50_fpn_1x_coco.py                                               ,https://download.openmmlab.com/mmdetection/v2.0/double_heads/dh_faster_rcnn_r50_fpn_1x_coco/dh_faster_rcnn_r50_fpn_1x_coco_20200130-586b67df.pth
ATSS                      ,R-101-FPN       , 41.5 ,configs/atss/atss_r101_fpn_1x_coco.py                                                                ,https://download.openmmlab.com/mmdetection/v2.0/atss/atss_r101_fpn_1x_coco/atss_r101_fpn_1x_20200825-dfcadd6f.pth
SABL Faster R-CNN         ,R-101-FPN       , 41.7 ,configs/sabl/sabl-faster-rcnn_r101_fpn_1x_coco.py                                                    ,https://download.openmmlab.com/mmdetection/v2.0/sabl/sabl_faster_rcnn_r101_fpn_1x_coco/sabl_faster_rcnn_r101_fpn_1x_coco-f804c6c1.pth
SABL Cascade R-CNN        ,R-101-FPN       , 43.0 ,configs/sabl/sabl-cascade-rcnn_r101_fpn_1x_coco.py                                                   ,https://download.openmmlab.com/mmdetection/v2.0/sabl/sabl_cascade_rcnn_r101_fpn_1x_coco/sabl_cascade_rcnn_r101_fpn_1x_coco-2b83e87c.pth
SABL RetinaNet            ,R-101-FPN       , 43.6 ,configs/sabl/sabl-retinanet_r101-gn_fpn_ms-480-960-2x_coco.py                                        ,https://download.openmmlab.com/mmdetection/v2.0/sabl/sabl_retinanet_r101_fpn_gn_2x_ms_480_960_coco/sabl_retinanet_r101_fpn_gn_2x_ms_480_960_coco-5342f857.pth
Dynamic R-CNN             ,R-50-FPN        , 38.9 ,configs/dynamic_rcnn/dynamic-rcnn_r50_fpn_1x_coco.py                                                 ,https://download.openmmlab.com/mmdetection/v2.0/dynamic_rcnn/dynamic_rcnn_r50_fpn_1x/dynamic_rcnn_r50_fpn_1x-62a3f276.pth
DETR                      ,R-50-FPN        , 39.9 ,configs/detr/detr_r50_8xb2-150e_coco.py                                                              ,https://download.openmmlab.com/mmdetection/v3.0/detr/detr_r50_8xb2-150e_coco/detr_r50_8xb2-150e_coco_20221023_153551-436d03e8.pth
PAA                       ,R-101-FPN       , 45.1 ,configs/paa/paa_r101_fpn_ms-3x_coco.py                                                               ,https://download.openmmlab.com/mmdetection/v2.0/paa/paa_r101_fpn_mstrain_3x_coco/paa_r101_fpn_mstrain_3x_coco_20210122_084202-83250d22.pth
VarifocalNet              ,R-101-FPN       ,      ,configs/vfnet/vfnet_r101-mdconv-c3-c5_fpn_ms-2x_coco.py                                              ,https://download.openmmlab.com/mmdetection/v2.0/vfnet/vfnet_r101_fpn_mdconv_c3-c5_mstrain_2x_coco/vfnet_r101_fpn_mdconv_c3-c5_mstrain_2x_coco_20201027pth-7729adb5.pth
Sparse R-CNN              ,R-101-FPN       , 46.2 ,configs/sparse_rcnn/sparse-rcnn_r101_fpn_300-proposals_crop-ms-480-800-3x_coco.py                    ,https://download.openmmlab.com/mmdetection/v2.0/sparse_rcnn/sparse_rcnn_r101_fpn_300_proposals_crop_mstrain_480-800_3x_coco/sparse_rcnn_r101_fpn_300_proposals_crop_mstrain_480-800_3x_coco_20201223_023452-c23c3564.pth
two-stage Deformable DETR ,R-50-FPN        , 47.0 ,configs/deformable_detr/deformable-detr-refine-twostage_r50_16xb2-50e_coco.py                        ,https://download.openmmlab.com/mmdetection/v3.0/deformable_detr/deformable-detr-refine-twostage_r50_16xb2-50e_coco/deformable-detr-refine-twostage_r50_16xb2-50e_coco_20221021_184714-acc8a5ff.pth
TOOD                      ,R-101-dcnv2     , 49.3 ,configs/tood/tood_r101-dconv-c3-c5_fpn_ms-2x_coco.py                                                 ,https://download.openmmlab.com/mmdetection/v2.0/tood/tood_r101_fpn_dconv_c3-c5_mstrain_2x_coco/tood_r101_fpn_dconv_c3-c5_mstrain_2x_coco_20211210_213728-4a824142.pth
DDOD-ATSS                 ,R-50-FPN        , 41.7 ,configs/ddod/ddod_r50_fpn_1x_coco.py                                                                 ,https://download.openmmlab.com/mmdetection/v2.0/ddod/ddod_r50_fpn_1x_coco/ddod_r50_fpn_1x_coco_20220523_223737-29b2fc67.pth
Conditional DETR          ,R-50-FPN        , 41.1 ,configs/conditional_detr/conditional-detr_r50_8xb2-50e_coco.py                                       ,https://download.openmmlab.com/mmdetection/v3.0/conditional_detr/conditional-detr_r50_8xb2-50e_coco/conditional-detr_r50_8xb2-50e_coco_20221121_180202-c83a1dc0.pth
DAB-DETR                  ,R-50-FPN        , 42.3 ,configs/dab_detr/dab-detr_r50_8xb2-50e_coco.py                                                       ,https://download.openmmlab.com/mmdetection/v3.0/dab_detr/dab-detr_r50_8xb2-50e_coco/dab-detr_r50_8xb2-50e_coco_20221122_120837-c1035c8c.pth
DINO                      ,R-50-FPN        , 50.1 ,configs/dino/dino-4scale_r50_improved_8xb2-12e_coco.py                                               ,https://download.openmmlab.com/mmdetection/v3.0/dino/dino-4scale_r50_improved_8xb2-12e_coco/dino-4scale_r50_improved_8xb2-12e_coco_20230818_162607-6f47a913.pth
DDQ DETR-5scale           ,R-50-FPN        , 52.1 ,configs/ddq/ddq-detr-5scale_r50_8xb2-12e_coco.py                                                     ,https://download.openmmlab.com/mmdetection/v3.0/ddq/ddq_detr_5scale_coco_1x.pth
DiffusionDet              ,R-50-FPN        ,      ,projects/DiffusionDet/configs/diffusiondet_r50_fpn_500-proposals_1-step_crop-ms-480-800-450k_coco.py ,https://download.openmmlab.com/mmdetection/v3.0/diffusiondet/diffusiondet_r50_fpn_500-proposals_1-step_crop-ms-480-800-450k_coco/diffusiondet_r50_fpn_500-proposals_1-step_crop-ms-480-800-450k_coco_20230215_090925-7d6ed504.pth
Co-DINO                   ,R-50-FPN        , 54.8 ,projects/CO-DETR/configs/codino/co_dino_5scale_r50_lsj_8xb2_3x_coco.py                               ,https://download.openmmlab.com/mmdetection/v3.0/codetr/co_dino_5scale_lsj_r50_3x_coco-fe5a6829.pth
RTMDet-l                  ,ConvNeXt-B      , 53.1 ,configs/rtmdet/rtmdet_l_convnext_b_4xb32-100e_coco.py                                                ,https://github.com/orange0-jp/orange-weights/releases/download/v0.1.0rtmdet-swin-convnext/rtmdet_l_convnext_b_4xb32-100e_coco-d4731b3d.pth
RTMDet-l                  ,Swin-B-P6       , 56.4 ,configs/rtmdet/rtmdet_l_swin_b_p6_4xb16-100e_coco.py                                                 ,https://github.com/orange0-jp/orange-weights/releases/download/v0.1.0rtmdet-swin-convnext/rtmdet_l_swin_b_p6_4xb16-100e_coco-a1486b6f.pth
DINO                      ,Swin-L          , 58.4 ,configs/dino/dino-5scale_swin-l_8xb2-36e_coco.py                                                     ,https://github.com/RistoranteRist/mmlab-weights/releases/download/dino-swinl/dino-5scale_swin-l_8xb2-36e_coco-5486e051.pth
GLIP-L                    ,Swin-L          , 59.4 ,configs/glip/glip_atss_swin-l_fpn_dyhead_16xb2_ms-2x_funtune_coco.py                                 ,https://download.openmmlab.com/mmdetection/v3.0/glip/glip_atss_swin-l_fpn_dyhead_16xb2_ms-2x_funtune_coco/glip_atss_swin-l_fpn_dyhead_16xb2_ms-2x_funtune_coco_20230910_100800-e9be4274.pth
DDQ DETR-4scale           ,Swin-L          , 58.7 ,configs/ddq/ddq-detr-4scale_swinl_8xb2-30e_coco.py                                                   ,https://download.openmmlab.com/mmdetection/v3.0/ddq/ddq_detr_swinl_30e.pth
Co-DINO                   ,Swin-L          , 60.7 ,projects/CO-DETR/configs/codino/co_dino_5scale_swin_l_lsj_16xb1_3x_coco.py                           ,https://download.openmmlab.com/mmdetection/v3.0/codetr/co_dino_5scale_lsj_swin_large_1x_coco-3af73af2.pth